@relation 'train-set'

@attribute 'Document Text' string
@attribute subtask_b {"TIN", "UNT"}

@data
' hubby rushed me *shakes fist* will flick a pic thru this evening when i feed em again by the way he is still the boss',TIN
'  omg  really  frankoz  liberals ruins everything  defundpbs',TIN
'  wow never thought id see the left actually admitting they want to shut down free speech unless its their own at least they are admitting they are the  facist after all they did create the 2 most facist groupsantifa and kkk',TIN
' rip lmao who knows face with tears of joy thats why im trying so hard not to expose my shits since they cant never relate anyway',TIN
' bullshit',UNT
' i feel pretty fucked then cuz i started out fine',UNT
' awful',TIN
' i dont know anything about the kkk although i believe the democrats fund them like they always did  i think the dems main terror group these days is antifa',TIN
'   she is absolutely useless everyone knows it except for her and the media',TIN
' does anyone care what that dirtbag says',TIN
'  not a snowballs chance in hell dimwit dem start taking losing like a manerrlike auhm whatever you identify as today we will maga not tired of winning see you in november for the redwaverising2018 you cant stop scotuskavenaugh',TIN
' hopefully your obesity catches up with you by then',TIN
'  my stoned wheat crackers where the hell did they put the stoned wheat crackers',UNT
'fordnation onpoli conservatives conservative onpc  just because you can doesnt mean you should great power comes with great responsibility by invoking art 33 and overriding our judicial processes youre overriding our democracy  ',UNT
'       thank you for your fortitude and perseverance please give mcconnell a kick in the butt from some of us conservatives',TIN
' yessssshhhhh who else call you shitgull if it were not me or ryme kissing face with closed eyes',TIN
' she is one of those ‘kooky’ liberals',TIN
' like if you did not get fired from espn',TIN
' those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best send your kid to one of those schools and we might get some action on gun control hypocrite',TIN
'  poor sad liberals no hope for them',TIN
'i got more common sense than all of my followers  ',TIN
' cbs sez ceo leslie moonves out on his ass after several allegations he was chasing ass coo joseph iannello will be interim ceo until somebody accuses him of the same thing this shit never ends ooops',TIN
' even if the devil did make every single one of those priests rape children why does the pope refuse to condemn it why didnt he remove from leadership the rapist brought to him',TIN
' i did not tweet this lol i needa get my twitter off this shit',TIN
' she is  ur screwed  trump owns scotus and he will exact a wrath upon enemies after the midterms',TIN
' then haul your fat ass in harms way you druggie',TIN
'  anyone can say or write anything about themselves suppose tomorrow she says that she is a prophet and human race needs to follow her  what does that tell about her   once i see someone as useless moron i stop giving them any attention you do the same brother she is nobody',TIN
' its so cool that the blind idiot god concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred',UNT
'  he is delirious',TIN
' rezz is a dumb bitch who will get a rude awakening from bnf in mexico lol ',TIN
'alert candace owens was just attacked by antifa ',TIN
' another dumbass democrat one thing you have to say about this president is he is not lazy another bullshit story as usual',TIN
'  when robyn posts a selfie the world stops for a moment to appreciate it',TIN
'   the democrats are so desperate all those ppl threatening sen collins are from ca they will do anything to delay or halt confirmation and  re election is on the line she is desperate the ppl amp gop are quite aware of what is going on',TIN
' so it moves forward damn the facts as long as you keep up the narrative the dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify conservatives or justify the actions of liberals',TIN
' poor baby  this is why you and your entire network can not be trusted    the only people still watching cnn are brainwashed liberals and demonrats ',TIN
'  she is clearly agitated in a defensive stance shit  what is she doing here',TIN
' then your gonna get bitten',TIN
' woodwords book is slander  he is nothing but a clown tool',TIN
' how many more this country must address sensible gun control this is more than enough  vote blue get this garbage cleaned off our streets',UNT
' it appears to be paired with a woo hoo so he must think he is on his way to a brothel',TIN
'   she is mentally unstable',TIN
' character and clinton cartoon maybe',TIN
'         i like that they arent mincing around with her i do not understand why she is denying doing porn',TIN
'     fema has contacted the senator and was toldits a tv hit you take them when you can he is a liar  if he had a set he would put on his big girl panties and tell the truth',TIN
' but i thought antifa were actually fascists but this shows rethuglicans are the actual fascists in the room',TIN
'          so absurd  the left has been fielding violent feminists and communists in the form of antifa to attack the very peaceful transition of power for more than two years    i wonder if it will ever occur to you that you are the bad guys  i doubt you have the moral fortitude',TIN
'anyone surprised   closernation  maga qanon ',TIN
' not if you are from wisconsin and it is a bubbler and duck duck goose',TIN
' good liberals will allow a rapist to continue serving on a federal district court while his victim continues to suffer    butyou saidyou said',TIN
' then why are you pretending to be something your notyou are a phony and all your lies wont change that',TIN
' she mocked sjws and the kkk with extremely clever satire the fact you do not have a sense of humor or are too stupid to get it is our fault none of that means you get to denigrate or lie about her or her motives she is a native american woman and you are a bigoted misogynist',TIN
'   are you saying he is a turkey chocker face without mouth',TIN
'  such delusional liberals so twisted with hate you cant even acknowledge the us airforce',TIN
'  she is better than all this shit she is better than anything red heart',UNT
' damn what i would do to be able to eat that pussy',TIN
' what exactly is it about willy that anyone with half a brain would consider conservative   the guy is literally a poster child for liberals',TIN
'  queen of rap face with tongue other bitches can knot relate',TIN
' i would be worse than her licking that ass',UNT
' so a pathological liar is going to give the judge a lecture on credibility because the judge wo not admit to something he did not do   and we are the stupid ones flushed face   and liberals have no shame in the ignorance of their elected representatives',TIN
'   we have a stupid problem conservatives do not just hate studies by smart people  smart people suck that show data data schmata and facts fakenews but just being near one can turn somebody into a nitwit cdnpoli',UNT
' bitch',TIN
' if jamie oliver fucks with my £3 meal deals at tesco i’ll kill the cunt',TIN
' i care that he was murdered i dont care whether he had some weed in his home like a whole lot of americans do any more than id care if you said he had 100 pairs of socks he is the victim you are trying to smear the victim you are despicable',TIN
'   i should wash your mouth out with soap for saying that i have the utmost respect and admiration for our cops i do not have that for dirt bags who would break into my home  gun control means a steady hand not an empty one go talk to antifa buddies about being a drain',TIN
' he is a russian spy  have received much money from putin',TIN
'  well hes a liberal so that explains it who knows the shooter may be a liberal as far as he knows liberals are very hateful violent people and must be defeated',TIN
'  no news orgs are giving faith goldy the time of day thats simply wrong she may not have the experience of the other two useless fools but she cares and she is no ones fool',TIN
' i just gave beto $100 and you all should as well  trump called teds wife ugly and he is still licking his boots for help with reelection',TIN
'was this a threat from  dangerousdemocrats maga ',TIN
'  liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence  they imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them',TIN
' let me borrow yo shit first rolling on the floor laughing',TIN
' wow  that lien bitch is at it again ',TIN
' stfu bitch lol why u salty i am tryna get twitter famous ya know',TIN
'  is 100 correct and should be applauded for criticizing our inept and corrupt president   not denounced for it           ',TIN
' you turn a dull tuesday night into a super sexy one so hot firefirefire',TIN
' but not as despicable as her own',TIN
'  without question professor ford is troubled thats being polite half the women in the world probably more have been groped at one time or an other  and dont hold on to it for 40 years this is obviously a political ploy to deter scotus confirmation  maga',TIN
'  he is both evil and delusional he eats those high quality paint chips',TIN
'  shut that wanker up',TIN
' fuck off',UNT
'  she’ll have a total mental breakdown when he is re elected',TIN
'          that is about the saddest existence i have ever been privy to reading sucks to be you man',TIN
' so did angela hook up with a younger guy so she has someone to wipe her butt when she is 75',TIN
' good this will surely show us how croocked he is face with tears of joyface with tears of joyface with tears of joy',TIN
'       exactly hat   are true feckers  i detest them',TIN
' still waiting for mine fat',UNT
' sam was singing and they didnt tell her to stop singing and she thanked them unbelievable who the hell is she talking to its bad enough when she is talking to one of the houseguest  but to keep talking to herself wonder what her family think about her going nuts',TIN
'  i think he could be called a turncoat  talking out of both sides of his fucking mouth  lindsey graham can no longer be trusted ',TIN
'    oh boo you sound so ignorant with your words we are on top all of america is on top now how about stop resisting and try to help make our nation the best for everyone not just liberals wake up and walk away',TIN
' sucks',TIN
' fuckkk face with tears of joyface with tears of joy i know i seen bitch that a slapper lmao',TIN
'  lefty pope should also he is not worthy rep for true christian roman catholics he failed his flock',TIN
' and honestly it is ridiculous you are grocery shopping there is no need to be like that',TIN
'                 little known fact balaam raced donkeys and gambled on races one day his fastest ass was winning the jerusalem sweepstakes and right before the finish the ass lost control running over a samaritan and two africans  local antifa saw the whole thing and blamed the fastest ass',TIN
'   if she were a true krishn bhakt she wouldnt even care about presence or absence of such laws she would be above such issues a typical chandigarh mentality of one up manship she is caged in call her anything but krishn bhakt like who cares about what she is doing ',UNT
' its been up since sunday night he is a sloth',TIN
'  some things never change in 1991 scotus clarence thomas hightechlynching by   amp   maga fight back against these lies confirmkavanaugh      djt  kavanaugh metoo  ',UNT
'  bitch shut up he building his self esteem',TIN
'     this hand signal is used by ignorant people as a signal of white supremacy and by evil people who get a lot of satisfaction in the idea of pissing off liberals  we should ignore both because displays of ignorance and hatefulness do not deserve our time and attention',UNT
'usa uk and probably europe and australia  with their level of intelligence  weez all stoopid yall  maga mega mbga mcga conservatives patriots celebrities ',TIN
' when are the republicans going to learn that democrats hate conservatives vote  thursday',TIN
'  is not that the amazon bitch from antifa',TIN
'       lie about what certainly not about you throwing gun control amp accountability out the window once an illegal is involved  and a hollering are you seeing shit and hearing voices',TIN
' just one more proof that the dnc hates the cosnstitution this is exactly what pres washington warned us of in his farwell address the dnc hates the constitution because it stands in the way of their totalitarain agenda maybe that i why they push both socialism and gun control',TIN
' he is a beast',TIN
'you you have committed so many crimes no care what a liar has to say you belong in prison maga ',TIN
' hahahaha omg these people they thought they would have their way forever  idiots',TIN
' fool on the hill ',TIN
' why of course liberals reject truth and accept falsehoods thats why they dont believe kanaugh and believe ellison',TIN
'  the nose distracts from the news',TIN
' thank you ms desanctis im comforted that not all conservatives are letting their ambition blind their conscience sexual assault harassment has been a plague on society for centuries   that should not make it a conservative or traditionalist cause',TIN
' you are trippin stop jumping to conclusions',TIN
' this sicko thinks that others scheme and lie like he and a lot of the liberals do remember rham emanuel famous quote you never let a serious crisis go to waste',TIN
' 2 battering rams used by liberals sex amp racism it is sinister amp desperate beneathhumanity',TIN
' apparently this pos does not know that viacom bought out bet it went from black ownership to white ownershiprolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing',TIN
' has your network organization put out a report on actress li bingbing  some reports say she is missing  other reports say the chinese government has abducted her   what the heck is going on',UNT
' desperation abuse of my power cause he is losing his mind',TIN
' gonna be a bitch to re write this one',TIN
' i bet she`s had more prick`s than a second hand pincushion maga united kingdomunited states',TIN
' ancient homies couldnt have cock cocks fighting because that was literally illegal in athens fjshdhjs',TIN
' she is fucking delusional',TIN
'    isnt it great how liberals ignore the pain of their victims because they are democrats  it is really sick',TIN
' no we ca not be losing ab he is literally our whole offense',TIN
' noticed you broke away as soon as the senate started talking about the great 42 growth rate and salary increases for employees  your station is so crooked   also negative on the conservatives and praise the liberals  drainthedeepstate crookedmedia',TIN
' you are an absolute dick pouting face',TIN
'   well then i guess its totally fine to attack his character then my mistake i mean what right does an american who was the victim of gun violence have to call for stricter gun control laws anyway',TIN
'  liberals act out of emotion not understanding the law then they go around condemning every1 who does not agree with their completely fucked rational nobody believed women for 250 years so let believe all women oh and screw the legal system men are pigs he is guilty smh',TIN
' he and obama must be copying each other does any democrat have their own thought please ',TIN
'   it wouldnt surprise me a bit just like they falsely call conservatives  fascists and justify physically attacking them trumps a nazi  kill him its just a matter of time before they suggest it',TIN
' lol they have no idea nazis were socialist their complete inability to grasp reality is so mind blowing antifa is no shit calling for a civil war to defend slavery the confederacy considered lincoln a fascist too hmmmm',TIN
'  lol these are exciting times god he is the worst',TIN
'too bad life sucks 4 u schiff4brains face with tears of joy ur going down along wi ur other criminal friends only red line crossed is the lies u tell u will never b anything more than the belly of a snake maga trump2020 schiff4brains ',TIN
'  lets focus on kavanaugh bringing up other cases to make an argument about hypocrisy is irrelevant its like saying  lets not investigate this bank robbery because liberals have robbed other banks try to focus',TIN
'prouduncle smiling face with heart eyes she is the finest cheerleader of them allblue heart te amo stinky buttheart with ribbon ',TIN
'  what is this shit right over here i also showed to my polish friends and they are quite triggered',TIN
'   oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades you can have all that shit and let hollywood decide how you feel',TIN
' everything is an issue with muslimsgo live in another country like iran',TIN
'     i did not admit anything read my tweet again please english is my 3rd language but i am rather good at it antifa are the nazis they can name them self the messiah they would still be thugs fighting against freedom and free speach btw free speach is not hate speach man up',TIN
' holder was held in contempt of congress why isnt in prison for fast and furious how about for murder',TIN
' expose these demons violating our constitution with violence amp threats to run govt instead of winning at the polls name them domestic terrorists amp jail them all',TIN
' grinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweat gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government fuck you',TIN
'   republicans platform    take away healthcare  harm the environment   take away children  take away women rights  do not believe in rule of law  voter suppression   gerrymandering   take away social security   no limits to gun control  explodes the budget  voteblue2018',TIN
'  then maybe we can talk about the double standards between liberals and conservatives at  somebody is always a victim',TIN
'qanon  maga   for those who think nothing is happening ',TIN
'rosenstein 300 attorneys ‘helped’ vet kavanaugh – now sexual abuse charges  which go back to his highschool days  and cant be proven amp named witness denies  pathetic confirmkavanaugh pjnet ccot maga kag2018 trump2020 nomoreprogressiveliberals',TIN
' has any ex obama administration personal not yet  see a pattern here folks  their actually doing this publicly the msm is their partner in this treason  it is a attempted coup detat',UNT
' fuck u',TIN
' niggaz buying pussy bitches trying to buy love',TIN
'  im also a prohibited possessor thanks to obama and his every soldier has  ptsd crazy administrationcant get life insurance eitherstill support the nra and the work they do for gun rightshoping trump will fix the wrongs of labeling veterans as a means to back door gun control',TIN
' does not suffer fools and has seen enough shit to last nine lives',TIN
' gop  conservatives  evangelicals  traditionalists catholics are all hypocrites',TIN
'  lmaoyou suck nfl',TIN
'   well  theyll cut out 299 pages and replace it with 1 saying everyone needs more chlorine  cmon are you chicken',TIN
' believe the woman  what person would volunteer for the shit show she is about to experience if it were not true  i stand in solidarity with christine blasey ford',TIN
' all communist democrat socialists are bad humans',TIN
' hmmmthey piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive  shocking',TIN
'*gets period* you are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪',TIN
' thus far the only people getting shot and kicked out of places are conservatives maga walkaway confirmkavanaugh',TIN
' yeah ill not take my gun control policy advice from a jeans company beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part',TIN
'yesonkavanaugh yes because it is the right thing to do yes because conservatives are in power yes because democrats are miserable humans yes because we are sick and tired of the tantrums from the democrats yes because they freaking lost the election please add more reasons',TIN
'manitoba   ndp leader wab kinew on the carbontax  are you proud of yourselves  and  you allow the ndp to come at you from the right youre all as insane as the trudeau liberals winnipeg canada mbpoli',TIN
' hahahahahahahaha she may need to change her strategy acting like a spoiled child throwing a tantrum and showing the world what a sore loser she is on national television isnt a great way to improve how anyone is viewed',TIN
'     oh it is ok because 45 reversed the most important issue on mental health he got rid of the mental health conditions on gun control great job what a guy he is a liar proven over amp over again but you worship away that your right',TIN
' a quick way to get yourself killed  thanks antifa',TIN
' wapo what an idiot comment you are a disgrace to journalism very sad',TIN
' that sucks thumbs down',TIN
' both sides have promised wall since ever y should anyone believe anything they say promised since 1986',TIN
'    to be fair i am positive most liberals are just blobs of cells',TIN
'  she is such a disgusting hypocrite',TIN
'  as well this would allow you to still protest but not stop a speaker or a group really hitler did this in the early time of the nazi party a group known as the ss would beat up politicians and people that didnt agree with them sounds familiar smells like antifa',TIN
' i fucking love this so so true  and actually it is in those types of jobs you will learn the most',UNT
'  nope with mm no waymaybe is time to ask sky what has gone wrong because foster from cnn have the book first than kp tweeted about the book  liberals from trump for americans to mm for british i dont known who is worst',TIN
' how does what im saying relate to gun control if police departments will not prosecute their own family then its time to limit their access to all weapons a police department reluctant to acknowledge their own wrong doings and correct them dont deserve access to weapons',TIN
'  do not ever stop lil ma *cough* eddandflow *cough* oh shit is that my snapchat how’d that slip out  add me folded hands medium light skin toneweary face',UNT
' all you want is gun control while you let corporations rip us americans off you do not stand up against cops assassinating unarmed black americans cops are enemies of americans that why their against  because they want to kill blacks in america thanks ',TIN
'a bitch is complaining to corporate about me in our lobby lmaooo',TIN
' i saw some shit today that made me want to  her and politely ask her if i could be her stylist because im not here for these early 2000 bangle bracelets and unnecessary accessories like whos responsible i have a few words ',TIN
