@relation 'subtask_c_testset'

@attribute 'Document Text' string
@attribute subtask_c {"OTH", "IND", "GRP"}

@data
'conservatives £2 bn housing on trick     what a crock of shte  housingcrisis  ',IND
'coupdetat of spain in catalona spain is a  fakedemocracy                cddr shameonspain wakeupeurope   ',GRP
'liberalismisamentaldisorder  but it is also a danger to our country liberals are showing themselves to be utterly hateful they do not care about truth  they only care about power',OTH
' these are all  coranated attacks from idiot loons they will get worse much worse before the election can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician idiots',GRP
'  awwww she is so stinking cute how old is she now',IND
'jointhefight    join the fight against american communists democrats  and  liberals have taken this crap to the edge and there is no coming back they are  openly promoting the destruction of  america  jointhefightagainstcommunism ',GRP
'  has stated that any talk of zionist involvement in 9 11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect he should be ashamed of himself but he is not because he is zionel',OTH
'khaleesi kinda watching hiac  wtf does she think she is  a person pffft pathetic ',IND
'andman shrugging medium skin tone females b on the same shit ',GRP
'declassifydocuments i love watching liberals like maria squirm outnumbered',GRP
'politicsinfocus look donald you are only a duck  stop patronizing me ',IND
'carbontax works and will put tons more money back into canadian pockets         part of why trudeau won in 2015 was campaigning on a national carbon tax conservatives died then they want another death in 2019we will oblige ',OTH
'antonia evans was either sex trafficked or cremated',IND
'theview stormy was in trapped by a dollar bill in her face poor pornstar but no worries the democratic party she is the leader of',IND
'and these entertainment agencies just gonna have to be an ass about it ',OTH
'trump really  everything trump does is another piece of evidence for obstruction of justice he is a talking crime machine',IND
'disarmthem this goes to show how moronic antifa types are  because this is a good way to encourage some dumbass to rightfully get speedrocked open carry users practice weapon retention gun grabs will go very badly for you if you try you will get shot  so dont do it 2a ',GRP
'christinebford liberalsaredesperate  every time liberals dont get there way they cry racism or sexual assault hard to believe',GRP
'cincinnatienquirer steps into gun control finally took a massshhoting on their damn door step for their editors to wake up  but better late than never ',OTH
'bitch i am fucking coming back ',IND
'liberals are reaching peak desperation to call on phillipruddock to talk with turnbull to convince him to help with wentworthvotes 18 sept 2018   auspol lnp nswpol     lnpmemes ',GRP
'democrat controlled city with strict gun control laws and  wants to blame the gop um  is not it you rich democrats trying to keep the blacks in poverty walkaway ',GRP
' got to love that the people making the laws tend to know nothing about the subject theyre making the law for you should hear some of the gun control laws people try to pass here in the states',GRP
' walkawayfromcatholicism it is a corrupt to the core and become a giant autocratic pedophile ring',OTH
'california patriots especially those in ca21  obama soros are attempting to take this house seat to get control of congress  say no to tj cox  he is a shill candidate fronted by the dastardly duo  please get out and vote david valadao for house  dist 21 follow  ',IND
'  when she takes her nigga name out her bio ',OTH
'arrestgeorgesoros he funds domesticterrorists antifa ',IND
'conservatives govt have run up debt in spite of austerity cuts while the rich have doubled their wealth inequality   via ',GRP
'crowderconfronts continues to expose that the sjw bullies are paper tigers when conservatives fight back with truth and facts dontbeafraid confrontwithtruth ',OTH
'biggbosstelugu2 how many of you kaushalarmy cum  fans ',GRP
'   okay and anybody can go to eredivise and score 15+ goals shit league bundesliga teams are competitive in euro competitions mexico has not produced any talent like pulisic in a long time it is okay  maybe you guys will one day',OTH
'kalyani is a very stupid teenager i totally despise her for the atrocities she is doing towards aunty anupriya she blames her for her mom death she should stop and listen to anupriya side of the story before she makes vile accusation   tujhsehairaabta zeetvserials',IND
'kalyani is a very stupid teenager i totally despise her for the atrocities she is doing towards aunty anupriya she blames her for her mom death she should stop and listen to anupriya side of the story before she makes vile accusation   tujhsehairaabta zeetvserials',IND
'christian america – if we go by trump example  where liberals support open borders  i guess conservatives support school shootings   please explain how this makes america great again',GRP
'   she is the most disingenuous person in the senate if she was my senator i would hide in shame after her despicable behavior in the scotus hearings',IND
'democrats liberals you are being threatened by armed nazis and you talk about disarmament of yourselves and of disconnection from the military lifestyle   you should broadcast your armory and killskills rightfuckingnow ',GRP
'699 just wanted to tell you you should hang out with me more i think it’ll be fun also  lmao dick for a tongue so people can easily suck me off haha kidding aside  i aint want a tongue as my dick that looks hella weird but my choice was weird to but whatever',IND
'avalanche im sorry i see you i love you i was an asshole you know how we are maga',IND
'ff  he is an alien from the future raising hands light skin tonealiennight with stars ',GRP
'familiarwife jh omg  she is crazy wj waityes  i am interested in assistant manager cha bh you guys look like a good pair vo are you having some just sit over here jh dont do it wj lets live our own life lets do it news collision on hwy  there is congestion jh woo jin ',IND
'thingsdarthvaderwouldneversay yup   white mask privilege at its finest always trying to keep a black mask down blacklivesmatter qanon antifa alexjones infowars starwars maytheforcebewithyou thirdshiftzombies podcast radio whitesupremacy ',GRP
'all i am saying if we cool and you feel any type of way about me speak the fuck up',IND
'cuckservative traitors are worse than fortnite players  conservatives triggerwarningradio',GRP
'barbara boxer if liberals want to use rape as a political tactic they had better have some hard evidence her word isnt evidence its called hearsay  on that note  i could say  you   cornered me in a bathroom  and put your hands all over me 35 years ago prove me wrong ',IND
'constitutionday its very odd for the alt right conservatives to say that we are ruining the constitution just because we want guncontrolnow but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not white wanting to live',GRP
'liberallogic  kavanaugh looks predatory therefore hes guilty  liberals are dangerous people who should not govern anyone or anything ',GRP
'orrinhatch i ca not believe this sexist   clueless  old fart gets to weigh in on another woman charges against a supreme court nominee and he is spouting the same old nasty shit he spewed 20+ years ago against anita hill his time up good riddance neanderthal',IND
'4 part 2 didnt have to think too hard to come up with gabriel theyre a lizard themed  glitter bombing  antifa mech pilot using their superhero powers to take down corrupt logging companies theyre a buff lesbian with hearts on their uniform literally whats not to love',GRP
'liberals   democrats this is what you stand for if not  then walkaway ',GRP
'beeto just demonstrated how to lose an election in texas    maga  rkba  dvc',IND
'and have a bitch thinking you niggas have money and you tf do not',GRP
'dems are disgusting they only believe women who accuse conservatives of abuse crimes when liberals are accused  they ignore the accusations ',GRP
'christineblaseyford is only being harassed by members of the antifa the radical arm of the democratic party funded by george soros  voteredtosaveamerica',GRP
'50 cent calls out joe buddens bullshit on instagram  ',IND
'bb20 actually question why do people want jc to win more than angela he has been way meaner  says the n word repeatly  makes fun of eating disorders  and sexually harasses houseguestsshe is just as much as an underdog to win so dont use that excuse bb20  tangela',IND
'alright let me get right with god bc mother nature is like fuck humans ',GRP
'hillary and  least 16 other angrydemocrats worldwarq wwg1wga maga redtsunami americafirst walkaway truth ',OTH
'antifa is recruiting for a designated terrorist organization ',OTH
'hypocrites democratshateamerica liberalismisamentaldisorder everything liberals touch turns to absolute shit ',GRP
'  as i have said the media and money soros with dip shit waters is creating a civil war',IND
'texas ted cruz campaign is sending people solicitations disguised as official looking county summons elderly residents have been confused by the notice to appear he is so skeezy    ',IND
'anyone who finds m*netas behavior funny can fuck off and die',GRP
'goodmorningamerica  tuesdaymotivation thankyou fathergod the americanpeople will begin to see the truth about our governmentcorruption    mediacorruption noredaction declassifyfisa declassification completely obama hillaryclinton lies leakers liberals ',OTH
' the difference between you and i as i stated before  and this inane asinine comment have solidified is i bring facts and truth  while all you have is lies and bullshit present a single shred of credible evidence to support a single thing youve just said lies is all youve got',IND
' damn i felt this shit why you so loud lol',IND
'msnbc hardball  bingo you are absolutely correct he cannot bring president obama down he ca not get over how president obama humiliated him at the white house correspondents dinner and i can guarantee you that is a definite driver of his hate for president obama',IND
'cnnisfakenews   you wonder why your ratings suck cnnisajoke fakenews maga ',OTH
'joescarborough is a vile excuse for a journalist here he is criticizing trump yet refuses to come clean about the death of an intern in his office stop talking about everyone else and start talking about your involvement with loriklausutis ',IND
'the dregs of society more labelingand dehumanizing conservativesi suggest we  conservatives keep our ammo dry and our guns loadedif the fascist liberal left think conservatives will go quietly into internment camps or slaughtered in the streets they need a reality check ',OTH
'feinstein you cant say anything truthful  you are a loers and liar ',IND
'nigeria naija 9ja you are the most incompetent leader in nigeria history – atiku blasts buhari  by championnewsng via ',IND
'emmys  well  most of those ex crackheads are liberals and democrats so ',GRP
' diversity only works when those joining the new group want to be a part of the team   islam hates every non muslim   fail  unicorns',GRP
'   so want to kick twitterfuck ass',OTH
'faileddemfeinstein should have quit decades ago she is a disgrace  feinstein blames gop after kavanaugh accuser stays mum  admits i cant say everythings truthful  ',IND
'   fascism was also against liberals as is antifa according to your meme',GRP
' a grown ass woman  probably 10 years older than me is currently spreading rumors rather than talking to me about it  nice work you got there satan red heart',IND
'conservatives do not care what you postit is  propaganda ',OTH
'idiots is there nothing beneath them lol what fools liberals are maga kag united statesunited statesunited statesunited statesunited states ',GRP
' the kindest explanation is that he is tone deaf  its hard to feel kind when he and his ilk do this repeatedly',IND
'amazonpets etta can be tricky to photograph because of her colouring  but she is beautiful and she knows it she is in charge  has first dibs on treats  and will shout for our attention whenever she comes in the house she kills wild rabbits but hangs out in the hutch with ours ',IND
'geoffreyowens niggas do not really understandlevels to career pursuits',IND
'what about death  metal  i want more death metal tell me  you hateful keebler elf  where can i have more death metal ',IND
'kavanaugh is a disciple of anthony kennedy  who wrapped gifted liberals w 3 unconstitutional opinions hes trumps con to con conservatives to thinking faceing scotus is moving right were  smart  theyd do everything to get bk the chequered flag but they wont idiots tuesdaythoughts ',GRP
'america   tear down that wall  tcot partisanship trump thewall borderwall liberty civilsociety think conservatives democrats progressives liberals independent libertarians gop dnc criticalthinking',GRP
'am i a dickhead  probably yes',IND
' cause everyone knows a real leader falls into a van like a sack of potatoes',IND
'boycottnike campaign must continue and grow  paying overseas staff $020 an hour is not okay because your staff is over there   you are exploiting poor women men in the world  this is more than americans can stand ',OTH
'news jeff sessions if you want more death  listen to the aclu  antifa  black lives matter  cnbc',OTH
'david miliband davidmiliband flew away  in newyork to be with the us liberals democrats   had to flee corbynists hatred of jews',GRP
'anyway this game sucks ',OTH
'ibelieveblaseyford is liar she is fat ugly libreal snowflake she sold her  herself to get some cash  from dems and iran   why she spoke after  johnkerryiranmeeting ',IND
'conservatives do not represent all canadians   they are authoritarian scum   cdnpoli onpoli ',OTH
'fords attorney says shes receiving death threats and has had to move her family to safety wheres the proof that democrats antifa are not doing this to promote this circus',GRP
'scottgimple ruined thewalkingdead and now he is doing the same to feartwd  hope the checks cash forever because he should never get another job amc',IND
'another season for tom brady to give it to these niggas',GRP
'lifeisbutepu when you are black and can say the word nigga feel me my niggas ',GRP
'austerity low pay tuitionfees  lack of housing wages falling universalcredit unaffordable rents nhs crisis crap railways empty shops brexit no deal exit from eu windrush grenfell   in just 8 short years the  have completely fucked the uk',IND
' thosethataretheloudest are afraid  justice is coming bono is a scam just like the clintonfoundation pedowood haiti ',GRP
'3 days before bbc radio 2 festival in a day  they decide to tell us that their headline act is not coming anymore thanks a lot  now i have paid a fortune to see a tonne of acts who are shit and who are of no interest to me expressionless facethumbs up light skin tone',OTH
'tytlive trump needs to go because he is a danger to the country and the world  any way we can get rid of him is good',IND
' davidhogg  youre nobody',IND
'desantis=deracist  as bad a choice as he is  he distanced himself from the prez comments today questioning any deaths in puerto rico from hurricane maria   whataputz',IND
'  ill use that one the next time im in a gun control debate or in a debate about free speech or taxes yes you can choose to be irresponsible or choose not to be i argue responsible whats wrong with that dont justify murder by saying it was never alive or its my right',GRP
'  who the hell does he think he is',IND
'liberalismisamentaldisorder hypocrites democratshateamerica democratsaredangerous everything liberals touch turns to absolute shit ',GRP
'88 of these niggas have podcasts and youtube channels dedicated to this and shit ai not getting solved so ',GRP
'anytime i randomly bust out laughing it is because i remembered some dumb shit albria said loudly crying faceloudly crying face',IND
'  face with tears of joy you do not like the jewish people because you all claims they are holding all the money sound familiar your left wing libtard  family is the family of the kkk you do not hate jews that funny gun control even funnier good luck',GRP
'liberals always up to dirty tricks to get their way backhand index pointing downbackhand index pointing down ',GRP
'conservatives are more upset about bertenernie being gay than having a sexualpredator in the  a hooker as  and a rapist as supremecourtjustice',GRP
'antifa protest in athens for the 5 years after the murder of pavlos fyssas by golden dawn  their voters are complicit to their crimes killahp ',GRP
'conservatives just like old garbage bags blowing in the wind  heres an old garbage bag now ',OTH
'bakersfield is why we need gun control sorry for the victims other than the gunman himself i hope he rots in hell',IND
'honoursacrificeboycottmatch i hope d human rights rats r happyhope sidhu is happy  i hope d liberals r happy let play cricket wth thm let thank thm 4 wht they r doing 2our soldiers let celebrate our impotence funny a piddly little nation like pak is taking us 4 a ride',GRP
'confirmkavanaugh white heavy check mark kavanaugh scotus potus45 presidenttrump americafirst magakag prohibitedanti trump liberal activist accuser  ford makes accusation but  not willing to be subject 2 b question suffer the consequence of filing a false charge lockherup  ',IND
'resist traitors caught on video breaking our laws to further their communist socialism ways and slow down the trump agenda they are the dc chapter of democrat socialists of america forget antifa  that is a distraction from the real resistance maga  ',GRP
'christineblaseyford was grinding kavanaugh at a party almost 40yrs agoyou gotta love the age  of this ridiculous metoo movement   just swear kavanaugh in already and get this over with  before liberals have an anxiety attack like 11 8 16 ',OTH
'corybooker is not a hero  he is an american traitor and should be treated as such arrest  prosecute  and  carry out sentence kavanaughconfirmation  via ',IND
'100 round goon bitch is you kiddin merolling on the floor laughing',IND
' morebs = more barrysoetorobullshit',IND
'tytlive omg how can a latino faith based woman think that trump is christian  wow  he is the poster child for immorality and hating latinos',IND
' carrey is a pervert himself',IND
' nigga are you stupid your trash dont play with him play with your bitch face with tears of joy',IND
'nooneaskme but heres my opinion offset keeping this beef up between cardib and  he know cardi slow and believe everything he says she is his meal ticket i just think offset need to sit his ugly ass down',IND
'icymi   liberals favorite myth that obama was a law professor is now destroyed ',IND
' to demonstrate how wholly incapable of carrying a thought to its logical conclusion she is',IND
'and she has a pet fucking disgusting ',IND
'liberalhypocrisy tacobell when liberals ask why your against illegal immigration taco bell employee no habla ingles ',IND
'blackinkcrewchi lily they do not hate youyou hate you you are your own worst enemy cause you let your anger get in the way i legit feel like shes one of the kids i work with at my job',IND
'justiceforsoniasfather  mr usman buzdar sb please respond to sonia iqbal daughter of pti counsellor from okara whose father was killed during elections by nawaz league killers she is saying she will commit suicide in front of media where is justice',OTH
'   worst potus  ever',IND
'conservatives have no genetic ability to understand hypocrisy or irony right wing ideology gets ya all twisted in knots onpoli  ontario  partyofyesteryear    fraudnation ',GRP
'theview bothamjean i dont believe amyguyger she is a lying pos i live near a police stationi hope and pray a cop doesnt bust up in my house thinking its his hers and kills memy godwe people of color are police preywere always in police cross hairsno matter what',IND
'antifa  september 22 stop the fascist nvu in amsterdam ',GRP
'and that why you were at nyfw cause your such a class act getcho wack ass outta here ',IND
'greatestthingsaboutthe90s liberals were not unhinged',GRP
'conservatives we mus pray for liberals they trooly kno knot watt they do i was brot up socialist democrat  by my wonderful  but  ignorant parents i served inda military i learnd i can serve christ  too eye reel  eyesed conservativism was more closely aligned w god',IND
'disarmthem antifa please no one be stupid enough to do this most of us do not open carry  most of us carry concealed anyone stupid enough to do this  that is considered an act of aggression and you will be shot we also carry more than one weapon we shoot to kill  not maim',GRP
' * puerto rico is destroyed more than 3 000 die * trump visits  and throws paper rolls at people * 11 months later  puerto rico is still waiting for help * trump says everything is fine  and his visit was a great success  thinking face',IND
'all these sick ass ppl from school gave me something and now i have to chug down this nasty drink so it can go awayupside down face',OTH
'conservatives are dumberthandogshit is the central point of my tweet',OTH
' rosie makes me nauseousface vomiting ',IND
'feminazis are liberals so metoo only counts when they blame a non liberal man bizarro  kag2018 red heartunited states ',GRP
'brexit deal has been reached   and will be unveiled at special summit in november  has  sold out the uk to the eu she better have not or the  are finished  ',OTH
'crazyredhead in very angry at the orange cheeto  who claims to be our president   she will never accept it  denying all the lives lost in puerto rico he is a monster … ',IND
'europaleague song the eu  cash your remaining chips in and p*ss off thumbs up youve played all your cards and liberals in the us too  brexiteers and trump takes it all so be nice eh and lifell be better for everyone  ',GRP
'$1500 for a phone you all are fucking dumb',GRP
'kavanaugh the moment blaseyford is exposed as a fraud  expect a new accuser to surface liberals are a one trick pony liberalismisamentaldisorder',GRP
'bcog  she is cool  confident  cocky  and she kicks ass    ',IND
' oh fuck off face with tears of joyface with tears of joy',IND
'liberalhypocrisy criminal democrat evidence ellison liberals hypocrites keith ellison domestic violence accuser says democratic party doesnt believe her story  ',GRP
'democratpartyofdomesticterrorists fascist antifa feminazi   dont just walkaway run ',GRP
'auspol  i dont know why he is still in his job seriously ',IND
'maga tell me one good thing trump has done as president i dare you he is the worst president in history',IND
'confirmkavanugh now  stall tactics are dc cronies only recourse no more delays  votered to end this madness and to maga',GRP
'    beats the hell nj out of me lol dude already made the assumption that im antifa he even ignored all the evidence to make that assumption',IND
'stopetchecopar fuck you all middle fingermiddle fingermiddle fingermiddle fingermiddle finger que florezcan mil baby etchecopar sunflowersunflowersunflower',IND
'antifa are mentally unstable cowards  pretending to be relevant ',GRP
'  and browning looked like dog shit against the same fcs school what is your point',IND
'all two of them taste like ass ',GRP
'despicabledems lie again about rifles dem distorted the law to push gun control at kavanaugh confirmation  via ',GRP
