@relation 'train-set'

@attribute 'Document Text' string
@attribute subtask_c {"OTH", "IND", "GRP"}

@data
'maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government   and what jobs did he create labour which pays less than living wage lmao ',IND
' bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious',IND
'a bitch built like that could beat my ass all she wants ',IND
'  very pathetic man ',IND
'      you must be talking about hateful conservatives',GRP
'  thats correct maga',IND
'   this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts     ',IND
'    this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly  alyssa milano just wet her pants again great team',GRP
' stratadata ai data hairball  tdavis touring the application of cognitive and machinelearning techniques to speed governance of data ',GRP
'    i wasnt proposing scare tactics i really meant what i said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it',IND
'    only a liberal would support a liberal that spent a million to get liberals elected to office libfail ',GRP
' it is so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘liberals think all criminals should be free’  it reveals a pretty brutalist and impenetrable mind',GRP
' why why are liberals so trashy',GRP
' yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i do not think he is a big fan of her policies he is not that stupid please',IND
' if you go by anything other than he or she you are fucked in the head',IND
' all you need to know is he is empty inside',IND
' the liberals are mentally unstable',GRP
'  who authorized a search warrant of mr jean home  racist what about her drug test this is premediated murder he will not be slandered he is the victim',IND
'   i have heard he is making waves',IND
'thursdaythoughts  fuck liberals forever',GRP
' once again its been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the 2a criminal *dont* care about gun laws',GRP
'  mxm nigger thinks we give a fuck ',IND
'  she is a fake vote her out now she wants sympathy',IND
'10kids from different women from this american jobless men nigerian men you are the bomb',OTH
' this russian agent is a disgrace hey old creep  you are going to die in prison you and trump sold america to the russians and it is time you do the time for your years of crimes scumbag',IND
' we should not be surprised these same pigs worked with neonazis to unmask antifa protestors and the local coverage by shit journos like  did not cover that at all we had to rely on  for investigative coverage ',GRP
'  because 45 of americans are too lazy to vote  non voters skew liberal and too many liberals who do vote throw their vote away on 3rd party losers next question',OTH
'  im sure he doesnt call his gated communitys private security firm bull connors though its funny now liberals love privatization of police',GRP
'  wonder how many children he molested',IND
'  oh you are in england  your views on gun control stopped mattering in 1776',IND
'      this is the antifa party amp all of a sudden they expect us to believe they care about anyone besides themselves nope',OTH
'  wonder if he apologized to diamond and silk for calling them a minstrel show  he should have been fired but there he is making faces',IND
' which is why it is awesome that kavanaugh did not shake that gun control dads hand  sorry for kid was killed by a gun but it is not the future judges fault it happened omg white people in cities are silly',GRP
' john podesta is a spirit cooking pedo heres a photo of him and valerie jarrett in a rather compromising situation  maga qanon drainthedeepstate draintheswamp ',IND
' i love the way this pisses off liberals ',GRP
'   my auto correct gggrrr she is a *crazy witch*',GRP
'  when i turned the speech on it sounded to me like liberals becoming another nasty party with his personal attacks on various individuals',GRP
' another negative democrat who refuses to disappear',IND
' as my elected mp could you please explain why  is still promoting ideas that the eu have already rejected weve 6 months to go and nothing appears to be moving onward  are like the blind leading the blind brexitshambles brexitmeansbrexit ',GRP
' so she ca not be effected by the radiation but killed i hope he mentions lady gaga witch since she is the only known immortal witch and supreme',IND
'2020 election season  trump my dick is the most magnificent dick just tremendous   leftists prove it you russian puppet  trump *whips dick out in fit of senility*  conservatives *vote trump to victory*',IND
'    interesting when demoncraps arent even inventive enough to create their own cartoons  this is originally put out by republicans   liberals are the koolaide drinkers and always have been liberals are also the scum of the earth and prove it daily through their lies',GRP
' ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him',GRP
'    he is dead so you are a necrophiliac as well good to knowyou must suck at chess never mind 3 dimensional chessyou ca not even think one move ahead let alone manychange your twitter handle to dumbaf not even ishface with rolling eyesface with rolling eyesface with rolling eyes',IND
'                                                 they get testy and decide youre a paid shill a lot  if you end up hanging around qanon youll get used to it',GRP
'   trump is a very sick man he is toxic and mean spirited',IND
'va10 voters know  is the right side of the gun issue gun control or gun rights the answer may help determine whether nra financed rep comstock wins reelection ',GRP
' oshaeterry thuglife criminal behaved as an ordinary disposable criminal maga maga2020 magarallyrules texaspolice',IND
'  she is full of bunk',IND
' hell did they boycott mcenroethis is too much',IND
' im going hardcore bitch',IND
' i used to do signifing monkey by heart played it for the wife and she is like what the hell',IND
' i think she is the one mad  she didnt like being called out so she is trying to make them bully me grinning squinting face',IND
'   so she is disgusting to you because she is a rangers fan you are disgusting to me because you support breaking up the union  proudtobebritish united kingdom',IND
' they should hopefully voters will realise that they could have ended this shitshow well before the midterms',GRP
'   i think i missed a few replies here im on a conference call but most of the anti jihadi muslim vets i know would disagree with gun control so this seems odd',IND
' look at all these racist white liberals freaking out because i said tom arnold has white privileged',GRP
' hubby rushed me *shakes fist* will flick a pic thru this evening when i feed em again by the way he is still the boss',IND
'  omg  really  frankoz  liberals ruins everything  defundpbs',GRP
'  wow never thought id see the left actually admitting they want to shut down free speech unless its their own at least they are admitting they are the  facist after all they did create the 2 most facist groupsantifa and kkk',GRP
' rip lmao who knows face with tears of joy thats why im trying so hard not to expose my shits since they cant never relate anyway',IND
' awful',OTH
' i dont know anything about the kkk although i believe the democrats fund them like they always did  i think the dems main terror group these days is antifa',GRP
'   she is absolutely useless everyone knows it except for her and the media',IND
' does anyone care what that dirtbag says',IND
'  not a snowballs chance in hell dimwit dem start taking losing like a manerrlike auhm whatever you identify as today we will maga not tired of winning see you in november for the redwaverising2018 you cant stop scotuskavenaugh',IND
' hopefully your obesity catches up with you by then',IND
'       thank you for your fortitude and perseverance please give mcconnell a kick in the butt from some of us conservatives',IND
' yessssshhhhh who else call you shitgull if it were not me or ryme kissing face with closed eyes',IND
' she is one of those ‘kooky’ liberals',IND
' like if you did not get fired from espn',IND
' those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best send your kid to one of those schools and we might get some action on gun control hypocrite',IND
'  poor sad liberals no hope for them',GRP
'i got more common sense than all of my followers  ',GRP
' cbs sez ceo leslie moonves out on his ass after several allegations he was chasing ass coo joseph iannello will be interim ceo until somebody accuses him of the same thing this shit never ends ooops',IND
' even if the devil did make every single one of those priests rape children why does the pope refuse to condemn it why didnt he remove from leadership the rapist brought to him',OTH
' i did not tweet this lol i needa get my twitter off this shit',IND
' she is  ur screwed  trump owns scotus and he will exact a wrath upon enemies after the midterms',IND
' then haul your fat ass in harms way you druggie',IND
'  anyone can say or write anything about themselves suppose tomorrow she says that she is a prophet and human race needs to follow her  what does that tell about her   once i see someone as useless moron i stop giving them any attention you do the same brother she is nobody',IND
'  he is delirious',IND
' rezz is a dumb bitch who will get a rude awakening from bnf in mexico lol ',IND
'alert candace owens was just attacked by antifa ',IND
' another dumbass democrat one thing you have to say about this president is he is not lazy another bullshit story as usual',GRP
'  when robyn posts a selfie the world stops for a moment to appreciate it',IND
'   the democrats are so desperate all those ppl threatening sen collins are from ca they will do anything to delay or halt confirmation and  re election is on the line she is desperate the ppl amp gop are quite aware of what is going on',GRP
' so it moves forward damn the facts as long as you keep up the narrative the dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify conservatives or justify the actions of liberals',GRP
' poor baby  this is why you and your entire network can not be trusted    the only people still watching cnn are brainwashed liberals and demonrats ',GRP
'  she is clearly agitated in a defensive stance shit  what is she doing here',IND
' then your gonna get bitten',IND
' woodwords book is slander  he is nothing but a clown tool',IND
' it appears to be paired with a woo hoo so he must think he is on his way to a brothel',IND
'   she is mentally unstable',IND
' character and clinton cartoon maybe',IND
'         i like that they arent mincing around with her i do not understand why she is denying doing porn',IND
'     fema has contacted the senator and was toldits a tv hit you take them when you can he is a liar  if he had a set he would put on his big girl panties and tell the truth',IND
' but i thought antifa were actually fascists but this shows rethuglicans are the actual fascists in the room',GRP
'          so absurd  the left has been fielding violent feminists and communists in the form of antifa to attack the very peaceful transition of power for more than two years    i wonder if it will ever occur to you that you are the bad guys  i doubt you have the moral fortitude',GRP
'anyone surprised   closernation  maga qanon ',OTH
' not if you are from wisconsin and it is a bubbler and duck duck goose',IND
' good liberals will allow a rapist to continue serving on a federal district court while his victim continues to suffer    butyou saidyou said',IND
' then why are you pretending to be something your notyou are a phony and all your lies wont change that',IND
' she mocked sjws and the kkk with extremely clever satire the fact you do not have a sense of humor or are too stupid to get it is our fault none of that means you get to denigrate or lie about her or her motives she is a native american woman and you are a bigoted misogynist',IND
'   are you saying he is a turkey chocker face without mouth',IND
'  such delusional liberals so twisted with hate you cant even acknowledge the us airforce',OTH
' damn what i would do to be able to eat that pussy',IND
' what exactly is it about willy that anyone with half a brain would consider conservative   the guy is literally a poster child for liberals',IND
'  queen of rap face with tongue other bitches can knot relate',IND
' so a pathological liar is going to give the judge a lecture on credibility because the judge wo not admit to something he did not do   and we are the stupid ones flushed face   and liberals have no shame in the ignorance of their elected representatives',IND
' bitch',IND
' if jamie oliver fucks with my £3 meal deals at tesco i’ll kill the cunt',IND
' i care that he was murdered i dont care whether he had some weed in his home like a whole lot of americans do any more than id care if you said he had 100 pairs of socks he is the victim you are trying to smear the victim you are despicable',IND
'   i should wash your mouth out with soap for saying that i have the utmost respect and admiration for our cops i do not have that for dirt bags who would break into my home  gun control means a steady hand not an empty one go talk to antifa buddies about being a drain',IND
' he is a russian spy  have received much money from putin',IND
'  well hes a liberal so that explains it who knows the shooter may be a liberal as far as he knows liberals are very hateful violent people and must be defeated',GRP
'  no news orgs are giving faith goldy the time of day thats simply wrong she may not have the experience of the other two useless fools but she cares and she is no ones fool',GRP
' i just gave beto $100 and you all should as well  trump called teds wife ugly and he is still licking his boots for help with reelection',IND
'was this a threat from  dangerousdemocrats maga ',OTH
'  liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence  they imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them',OTH
' let me borrow yo shit first rolling on the floor laughing',IND
' wow  that lien bitch is at it again ',IND
' stfu bitch lol why u salty i am tryna get twitter famous ya know',IND
'  is 100 correct and should be applauded for criticizing our inept and corrupt president   not denounced for it           ',GRP
' you turn a dull tuesday night into a super sexy one so hot firefirefire',IND
' but not as despicable as her own',IND
'  without question professor ford is troubled thats being polite half the women in the world probably more have been groped at one time or an other  and dont hold on to it for 40 years this is obviously a political ploy to deter scotus confirmation  maga',IND
'  he is both evil and delusional he eats those high quality paint chips',IND
'  shut that wanker up',IND
'  she’ll have a total mental breakdown when he is re elected',IND
'          that is about the saddest existence i have ever been privy to reading sucks to be you man',IND
' so did angela hook up with a younger guy so she has someone to wipe her butt when she is 75',IND
' good this will surely show us how croocked he is face with tears of joyface with tears of joyface with tears of joy',IND
'       exactly hat   are true feckers  i detest them',GRP
' sam was singing and they didnt tell her to stop singing and she thanked them unbelievable who the hell is she talking to its bad enough when she is talking to one of the houseguest  but to keep talking to herself wonder what her family think about her going nuts',IND
'  i think he could be called a turncoat  talking out of both sides of his fucking mouth  lindsey graham can no longer be trusted ',IND
'    oh boo you sound so ignorant with your words we are on top all of america is on top now how about stop resisting and try to help make our nation the best for everyone not just liberals wake up and walk away',GRP
' sucks',IND
' fuckkk face with tears of joyface with tears of joy i know i seen bitch that a slapper lmao',IND
'  lefty pope should also he is not worthy rep for true christian roman catholics he failed his flock',IND
' and honestly it is ridiculous you are grocery shopping there is no need to be like that',IND
'                 little known fact balaam raced donkeys and gambled on races one day his fastest ass was winning the jerusalem sweepstakes and right before the finish the ass lost control running over a samaritan and two africans  local antifa saw the whole thing and blamed the fastest ass',GRP
' its been up since sunday night he is a sloth',IND
'  bitch shut up he building his self esteem',IND
'usa uk and probably europe and australia  with their level of intelligence  weez all stoopid yall  maga mega mbga mcga conservatives patriots celebrities ',GRP
' when are the republicans going to learn that democrats hate conservatives vote  thursday',OTH
'  is not that the amazon bitch from antifa',IND
'       lie about what certainly not about you throwing gun control amp accountability out the window once an illegal is involved  and a hollering are you seeing shit and hearing voices',IND
' just one more proof that the dnc hates the cosnstitution this is exactly what pres washington warned us of in his farwell address the dnc hates the constitution because it stands in the way of their totalitarain agenda maybe that i why they push both socialism and gun control',GRP
' he is a beast',IND
'you you have committed so many crimes no care what a liar has to say you belong in prison maga ',IND
' hahahaha omg these people they thought they would have their way forever  idiots',GRP
' fool on the hill ',IND
' why of course liberals reject truth and accept falsehoods thats why they dont believe kanaugh and believe ellison',GRP
'  the nose distracts from the news',IND
' thank you ms desanctis im comforted that not all conservatives are letting their ambition blind their conscience sexual assault harassment has been a plague on society for centuries   that should not make it a conservative or traditionalist cause',GRP
' you are trippin stop jumping to conclusions',IND
' this sicko thinks that others scheme and lie like he and a lot of the liberals do remember rham emanuel famous quote you never let a serious crisis go to waste',IND
' 2 battering rams used by liberals sex amp racism it is sinister amp desperate beneathhumanity',OTH
' apparently this pos does not know that viacom bought out bet it went from black ownership to white ownershiprolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing',IND
' desperation abuse of my power cause he is losing his mind',OTH
' gonna be a bitch to re write this one',IND
' i bet she`s had more prick`s than a second hand pincushion maga united kingdomunited states',IND
' ancient homies couldnt have cock cocks fighting because that was literally illegal in athens fjshdhjs',GRP
' she is fucking delusional',IND
'    isnt it great how liberals ignore the pain of their victims because they are democrats  it is really sick',IND
' no we ca not be losing ab he is literally our whole offense',IND
' noticed you broke away as soon as the senate started talking about the great 42 growth rate and salary increases for employees  your station is so crooked   also negative on the conservatives and praise the liberals  drainthedeepstate crookedmedia',GRP
' you are an absolute dick pouting face',IND
'   well then i guess its totally fine to attack his character then my mistake i mean what right does an american who was the victim of gun violence have to call for stricter gun control laws anyway',IND
'  liberals act out of emotion not understanding the law then they go around condemning every1 who does not agree with their completely fucked rational nobody believed women for 250 years so let believe all women oh and screw the legal system men are pigs he is guilty smh',GRP
' he and obama must be copying each other does any democrat have their own thought please ',GRP
'   it wouldnt surprise me a bit just like they falsely call conservatives  fascists and justify physically attacking them trumps a nazi  kill him its just a matter of time before they suggest it',IND
' lol they have no idea nazis were socialist their complete inability to grasp reality is so mind blowing antifa is no shit calling for a civil war to defend slavery the confederacy considered lincoln a fascist too hmmmm',GRP
'  lol these are exciting times god he is the worst',OTH
'too bad life sucks 4 u schiff4brains face with tears of joy ur going down along wi ur other criminal friends only red line crossed is the lies u tell u will never b anything more than the belly of a snake maga trump2020 schiff4brains ',IND
'  lets focus on kavanaugh bringing up other cases to make an argument about hypocrisy is irrelevant its like saying  lets not investigate this bank robbery because liberals have robbed other banks try to focus',GRP
'prouduncle smiling face with heart eyes she is the finest cheerleader of them allblue heart te amo stinky buttheart with ribbon ',IND
'  what is this shit right over here i also showed to my polish friends and they are quite triggered',OTH
'   oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades you can have all that shit and let hollywood decide how you feel',OTH
' everything is an issue with muslimsgo live in another country like iran',GRP
'     i did not admit anything read my tweet again please english is my 3rd language but i am rather good at it antifa are the nazis they can name them self the messiah they would still be thugs fighting against freedom and free speach btw free speach is not hate speach man up',GRP
' holder was held in contempt of congress why isnt in prison for fast and furious how about for murder',IND
' expose these demons violating our constitution with violence amp threats to run govt instead of winning at the polls name them domestic terrorists amp jail them all',GRP
' grinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweatgrinning face with sweat gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government fuck you',IND
'   republicans platform    take away healthcare  harm the environment   take away children  take away women rights  do not believe in rule of law  voter suppression   gerrymandering   take away social security   no limits to gun control  explodes the budget  voteblue2018',OTH
'  then maybe we can talk about the double standards between liberals and conservatives at  somebody is always a victim',GRP
'qanon  maga   for those who think nothing is happening ',IND
'rosenstein 300 attorneys ‘helped’ vet kavanaugh – now sexual abuse charges  which go back to his highschool days  and cant be proven amp named witness denies  pathetic confirmkavanaugh pjnet ccot maga kag2018 trump2020 nomoreprogressiveliberals',GRP
' fuck u',IND
' niggaz buying pussy bitches trying to buy love',GRP
'  im also a prohibited possessor thanks to obama and his every soldier has  ptsd crazy administrationcant get life insurance eitherstill support the nra and the work they do for gun rightshoping trump will fix the wrongs of labeling veterans as a means to back door gun control',IND
' does not suffer fools and has seen enough shit to last nine lives',OTH
' gop  conservatives  evangelicals  traditionalists catholics are all hypocrites',OTH
'  lmaoyou suck nfl',OTH
'   well  theyll cut out 299 pages and replace it with 1 saying everyone needs more chlorine  cmon are you chicken',IND
' believe the woman  what person would volunteer for the shit show she is about to experience if it were not true  i stand in solidarity with christine blasey ford',IND
' all communist democrat socialists are bad humans',GRP
' hmmmthey piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive  shocking',IND
'*gets period* you are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪',IND
' thus far the only people getting shot and kicked out of places are conservatives maga walkaway confirmkavanaugh',GRP
' yeah ill not take my gun control policy advice from a jeans company beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part',GRP
'yesonkavanaugh yes because it is the right thing to do yes because conservatives are in power yes because democrats are miserable humans yes because we are sick and tired of the tantrums from the democrats yes because they freaking lost the election please add more reasons',GRP
'manitoba   ndp leader wab kinew on the carbontax  are you proud of yourselves  and  you allow the ndp to come at you from the right youre all as insane as the trudeau liberals winnipeg canada mbpoli',OTH
' hahahahahahahaha she may need to change her strategy acting like a spoiled child throwing a tantrum and showing the world what a sore loser she is on national television isnt a great way to improve how anyone is viewed',IND
'     oh it is ok because 45 reversed the most important issue on mental health he got rid of the mental health conditions on gun control great job what a guy he is a liar proven over amp over again but you worship away that your right',IND
' a quick way to get yourself killed  thanks antifa',IND
' wapo what an idiot comment you are a disgrace to journalism very sad',IND
' that sucks thumbs down',IND
' both sides have promised wall since ever y should anyone believe anything they say promised since 1986',IND
'    to be fair i am positive most liberals are just blobs of cells',GRP
'  she is such a disgusting hypocrite',IND
'  as well this would allow you to still protest but not stop a speaker or a group really hitler did this in the early time of the nazi party a group known as the ss would beat up politicians and people that didnt agree with them sounds familiar smells like antifa',GRP
'  nope with mm no waymaybe is time to ask sky what has gone wrong because foster from cnn have the book first than kp tweeted about the book  liberals from trump for americans to mm for british i dont known who is worst',GRP
' how does what im saying relate to gun control if police departments will not prosecute their own family then its time to limit their access to all weapons a police department reluctant to acknowledge their own wrong doings and correct them dont deserve access to weapons',OTH
' all you want is gun control while you let corporations rip us americans off you do not stand up against cops assassinating unarmed black americans cops are enemies of americans that why their against  because they want to kill blacks in america thanks ',GRP
'a bitch is complaining to corporate about me in our lobby lmaooo',IND
' i saw some shit today that made me want to  her and politely ask her if i could be her stylist because im not here for these early 2000 bangle bracelets and unnecessary accessories like whos responsible i have a few words ',IND
' yyyy fuck no bitch we decided we both was gone steepppp',IND
'liberals grasp at unproven straws  notplastic ',GRP
' funny human rights he is  pro abortion that settles it he lies pacified deceives playboy',IND
'       is clearly racist and anti senior citizen how do you allow this conservatives will never take you seriously if you dont start being fair',OTH
'  if kavanaugh is confirmed there will be two sexual deviants sitting on the supreme court both conservatives and nominated by republicans democrats put women on the scotus and republicans put perverted men there for their lifetime stopkavanaugh stoptrump savescotus',GRP
'  liberals have no shame to them the outcome justifies the mean',GRP
' coming from a guy who worries more about straws than cleaning up failed shitty policiesnow he knows bestlol',IND
'  popular side does not equal winning side facts are that private schools do a much better job educating students than public schools public school teachers get unfair perks that they do not deserve it is unfair to private school teachers',GRP
' how fucking sad persevering face',OTH
' i suppose you think the way liberals attacked sarah palin was courageous also you are just another hypocrite',IND
'  all great american patriots are the dregs of society in the warped and delusional perspective of joe blow biden he is a disgrace to america',IND
' what a joke  another dirty tricks democrat on the george soros payroll  the democrat party knows no shame  maga',GRP
' what the actual fuckill report them this is so fucked up',IND
' he should leak that shit anyways lol',IND
'        no other 1st world country has bullshit like this because they dont have bullshit problems like this  fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control  ',GRP
'    yes  you are right not only lefties but neo liberals having any trouble this papers have proper journalistic ethics   its funny grinning squinting facegrinning squinting facegrinning squinting face and  magyar nemzet or népszabadság had highest circulation   its also funny  only in the communistic past before 1989  grinning squinting facegrinning squinting facegrinning squinting face ',GRP
' great gun control takes concentration and steady hand way to go girl ',IND
' you would never guess that this employee plays covet a fashion game on her ipad in her free time mobile phone  she has a strange phobia of dogsdog  she is amazingly weird she can jump over her foot while it is in ',IND
' go back to canada you freak',IND
'          yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means i am homophobic',GRP
' he just does not fit the team now agholor should stay in the slot because that where he is successful jmatt is not an outside threat',IND
' nike lost $375 billion after kaepernick was named face of just do it bullshit',OTH
' google go to hell',OTH
' if only he were the craziest mf out there sadly  he is not there are far worse examples of good christians',IND
' he is not working for texas he is paid by the soros cartel not fond of cruz but beto is a dangerous person just another dnc sheeple',IND
' i want to kiss your ass',IND
' beto also wants open borders so illegals can come an go as they please an also more gun control espically on semiautomatic weaponsbetonotfortexas',GRP
'     there is absolutely no point in debating a liberal your party has swung so far left and have nothing but hate all rationale has fleeted your side trump could create world peace and a utopian society and liberals would still resist for no other reason than your hatred',GRP
'  f hope since he is ‘not smarter than a 5th grader’ maybe she is',IND
'100 agree with trump on this  surprised to see so many liberals talk about how cute he was sneaking candy at a war criminals funeral ',IND
'joebiden calls trump supporters dregs of society biden organized a coup in ukraine his son steals $b from ukrainian people as they leave their country in search of jobs  maga potus   zog',IND
' destroying me excuse me i beat you all the time why you bullshitting that also i love you more face with steam from nose',IND
' for what lies and rumors being spread by liberals with their known pattern hell no',GRP
' shes so old that shes been pushing gun control since the lincoln assassination',IND
' grew up listening to kids shit breaks my heart rip',OTH
' delusional idiot and the traitor',IND
