@relation 'subtask_b_testset'

@attribute 'Document Text' string
@attribute subtask_b {"TIN", "UNT"}

@data
' nigga are you stupid your trash dont play with him play with your bitch face with tears of joy',TIN
'nooneaskme but heres my opinion offset keeping this beef up between cardib and  he know cardi slow and believe everything he says she is his meal ticket i just think offset need to sit his ugly ass down',TIN
'icymi   liberals favorite myth that obama was a law professor is now destroyed ',TIN
' to demonstrate how wholly incapable of carrying a thought to its logical conclusion she is',TIN
'and she has a pet fucking disgusting ',TIN
'liberalhypocrisy tacobell when liberals ask why your against illegal immigration taco bell employee no habla ingles ',TIN
'blackinkcrewchi lily they do not hate youyou hate you you are your own worst enemy cause you let your anger get in the way i legit feel like shes one of the kids i work with at my job',TIN
'justiceforsoniasfather  mr usman buzdar sb please respond to sonia iqbal daughter of pti counsellor from okara whose father was killed during elections by nawaz league killers she is saying she will commit suicide in front of media where is justice',TIN
'   worst potus  ever',TIN
'conservatives have no genetic ability to understand hypocrisy or irony right wing ideology gets ya all twisted in knots onpoli  ontario  partyofyesteryear    fraudnation ',TIN
'oitnb she is the worst public defender trailing her pen uner the words',UNT
'theview bothamjean i dont believe amyguyger she is a lying pos i live near a police stationi hope and pray a cop doesnt bust up in my house thinking its his hers and kills memy godwe people of color are police preywere always in police cross hairsno matter what',TIN
'antifa  september 22 stop the fascist nvu in amsterdam ',TIN
'and that why you were at nyfw cause your such a class act getcho wack ass outta here ',TIN
'greatestthingsaboutthe90s liberals were not unhinged',TIN
'conservatives we mus pray for liberals they trooly kno knot watt they do i was brot up socialist democrat  by my wonderful  but  ignorant parents i served inda military i learnd i can serve christ  too eye reel  eyesed conservativism was more closely aligned w god',TIN
'disarmthem antifa please no one be stupid enough to do this most of us do not open carry  most of us carry concealed anyone stupid enough to do this  that is considered an act of aggression and you will be shot we also carry more than one weapon we shoot to kill  not maim',TIN
' * puerto rico is destroyed more than 3 000 die * trump visits  and throws paper rolls at people * 11 months later  puerto rico is still waiting for help * trump says everything is fine  and his visit was a great success  thinking face',TIN
'all these sick ass ppl from school gave me something and now i have to chug down this nasty drink so it can go awayupside down face',TIN
'conservatives are dumberthandogshit is the central point of my tweet',TIN
' rosie makes me nauseousface vomiting ',TIN
'feminazis are liberals so metoo only counts when they blame a non liberal man bizarro  kag2018 red heartunited states ',TIN
'brexit deal has been reached   and will be unveiled at special summit in november  has  sold out the uk to the eu she better have not or the  are finished  ',TIN
'crazyredhead in very angry at the orange cheeto  who claims to be our president   she will never accept it  denying all the lives lost in puerto rico he is a monster … ',TIN
'europaleague song the eu  cash your remaining chips in and p*ss off thumbs up youve played all your cards and liberals in the us too  brexiteers and trump takes it all so be nice eh and lifell be better for everyone  ',TIN
'$1500 for a phone you all are fucking dumb',TIN
'howtogetpeopleoutofyourhome  tell them that youre a vampirethen threaten to eat them if they dont get their asses out  *shrugs*  what  problem',UNT
'kavanaugh the moment blaseyford is exposed as a fraud  expect a new accuser to surface liberals are a one trick pony liberalismisamentaldisorder',TIN
'bcog  she is cool  confident  cocky  and she kicks ass    ',TIN
' oh fuck off face with tears of joyface with tears of joy',TIN
'liberalhypocrisy criminal democrat evidence ellison liberals hypocrites keith ellison domestic violence accuser says democratic party doesnt believe her story  ',TIN
'democratpartyofdomesticterrorists fascist antifa feminazi   dont just walkaway run ',TIN
'auspol  i dont know why he is still in his job seriously ',TIN
'maga tell me one good thing trump has done as president i dare you he is the worst president in history',TIN
'confirmkavanugh now  stall tactics are dc cronies only recourse no more delays  votered to end this madness and to maga',TIN
'    beats the hell nj out of me lol dude already made the assumption that im antifa he even ignored all the evidence to make that assumption',TIN
'stopetchecopar fuck you all middle fingermiddle fingermiddle fingermiddle fingermiddle finger que florezcan mil baby etchecopar sunflowersunflowersunflower',TIN
'antifa are mentally unstable cowards  pretending to be relevant ',TIN
'  and browning looked like dog shit against the same fcs school what is your point',TIN
'all two of them taste like ass ',TIN
'despicabledems lie again about rifles dem distorted the law to push gun control at kavanaugh confirmation  via ',TIN
'3 people just unfollowed me for talking about merlin sorry yall im still up covinskys ass im just waiting for a psisly sequel announcement ive run out of witty and funny tweets about tatbilb i am drained',UNT
