@relation 'train-set'

@attribute id real
@attribute 'Document Text' string
@attribute subtask_a {"NOT", "OFF"}

@data
19842,' who are they gun control has been tried and is a proven failure this is why people do not vote democrat they refuse to admit reality gun control does not work',NOT
69232,' so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about  just because california has the biggest population does not mean the us shares in their values  get a clue hillary',NOT
36471,'  doesnt he partly fund antifa',NOT
32897,' he is a dumbass ',OFF
62072,'           and levistrauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms ',OFF
95444,' at this point in time i dont think pres trump gives a shit and neither do i lol ',OFF
51172,'  ok conservatives get to the polls vote red',NOT
62481,' donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail',OFF
71895,'a harvard harris poll conducted this year found that 48 percent of black americans said they would like to see between only one and 250 000 legal immigrants brought to the us a year  maga tcot',NOT
78366,' any doubt that  have officially become the national socialist american workers party is gone with ppl like those on  and  acting as der sturmer and antifa as their einsatzgruppen waffen ss detachment',NOT
39021,' oh my carmen he is so fricking cute',OFF
68840,' chelsea is as crazy as her mother',OFF
96837,' its time the conservatives binnedboris and sent lyin lynton back to australia',NOT
51815,'   the 2015 manifesto promised me my vote back so where is it you think brexit would have gone through if all the brits in the eu27 had been allowed to vote the referendum was gerrymandered',NOT
62023,'   the metoo movement must be an extension of antifa and is a  complete joke if this movement wasnt selective  joe biden would be in court for fonding girls on camera ',NOT
10253,'  you are awesome thank you you give humanity hope',NOT
21367,' goober',NOT
33797,' another uninformed',NOT
11160,' i forgot he is their foster child',NOT
32916,' and the brainless dems wants us to believe that he doesnt have the majority liberals is just like their leaders the corrupts obama and crookedhillary both are real bad losers maga trump',OFF
47427,' no fucking way he said this',NOT
87052,'  such supposedly smart people didnt think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way',NOT
29556,' im not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support',NOT
18547,'  california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control',OFF
32688,'         or where 25 oct 2005 brazil citizens overwhelming voted no on the government implementing strict gun control by a factor of 639  and the brazilian government still violates that referendum everyday as brazilians are murdered w zero effective method of self defense',NOT
57850,'if we claim to be without sin  we deceive ourselves and the truth is not in us if we confess our sins  he is faithful and just and will forgive us our sins and purify us from all unrighteousness 1 john 15 9',NOT
82607,'  and yet millions of permit holding people carried legally concealed firearms that same day and did not hurt themselves or anyone else   but yet they want to have stronger gun control   idiots  face with raised eyebrow  our wonderful media has to hype incidents that fits their agenda',OFF
82339,' yes do hurt your selves gun control freaks',OFF
98077,'     you get more like this guy with every hysterical tweet ',NOT
62815,' he always shows dedication at what he does no wonder he is the best ',NOT
34510,'   bullshit regulations are good because it keeps conservatives from striping our land into the abyss',OFF
53501,' the owner of my culo',OFF
69928,'now she scarred herself for life lol maga ',OFF
31853,' you fucking  ',OFF
13872,'confirm the man the left wing activist is a liar whos story changes no hard evidence christineblaseyford innocent until proven guilty confirmkavanaugh  maga    weakrinos republicans',OFF
30791,' reagan also signed the first gun control bill as governor of ca',NOT
80385,' awe hogwash do we really need you to overstate the obvious',NOT
54292,'30+ years as a judge6 extensive backgroundsnot a peeplink to trumpboom do conservatives only rape liberals ',NOT
28985,'im assuming im not going to get an answer brainless  liberal stooge ocasio cortez   on $40t policy plan  wakeupamerica  this is not americas future vote republican  or surrender america to these dem morons  maga',OFF
52375,'1 this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others  2 im waiting for gun control advocates to add this to their list of school shootings  3 who buys 22 caliber handguns why ',NOT
74004,'  leftists showing yet again how vile they can be',OFF
70838,' he is a drunk crazy man',OFF
64577,'                honored to be included with all these fine patriots  thank you rena  maga united statesgrinning facetwo heartsunited states dean    ',NOT
44448,' please shut up ontario is seeing what conservatives stand for  is not helping you loose this province your never going anywhere not they you will any way your completely out of tune with canadian mr harper oops i mean mr scheer common mistake you so much alike',NOT
53928,' you are not alone i was sexually assaulted by a fellow law student in 1978 i never reported it because i didnt think i would be believed however something happened that made me realize i wasnt his only victim then i felt id made a colossal mistake',NOT
45337,' but liberals do',NOT
85707,' another terrorist attack not reported by msm',NOT
63292,' dont know who you are so imma just ',NOT
15991,' all that money hadnt made u smarter',OFF
25009,' yes he is from gilmer it makes me laugh so much',NOT
90990,' u both r my lifelinered heartfolded handsface with tears of joy ',NOT
65785,' always thought h ford was a level headed guy guess not note to ford climate change is summer fall  winter spring happens every year get over it',NOT
38837,' yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdownwinking face',OFF
94182,'  unfortunately youre right keep it real  she is the assault weapon',NOT
77653,' she is real rocky firefirefire oh my god ',NOT
27238,' thank you to everyone for making this possible you are amazing and so are the beautiful bears im a member of olivers army and i appreciate everything you do to make lives better',NOT
12892,' yeah we got everything sorted that needed to be sorted she is still only taking small sips of her wine unusual for emily but she guessed jj would not profile her',NOT
16885,' by the way why do not you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where it is already a shit hole so you do not have to do any work ',OFF
46581,' yes she is',NOT
41517,'   he tried this before and it went nowhere hes 100 pro gun control done',NOT
22717,'     he could have killed as many with a hunting rifle with the time and vantage he had he had close to an hour before police entered his room his actual shooting was over 10 min making this about gun control is just going to get more people killed we need to be smarter',NOT
88539,'  aha yes  i see that the individual sense of needing to belong to a winning team because of the constant conditioning of self devaluation i see a strong sense of this on the q side but on the left hillary antifa side as well regardless if they think theyre winning or not',NOT
65786,'  oh no i know why that i just dont know what she is talking about because i dont see a tweet she is repling too lol',NOT
54437,' and here we have another demonstration that gun free zones do not work brought to you by a liberal who more than likely supports stricter gun control',NOT
19514,'shouldnt pussy grabbing  be the one wearing the gloves while handling food maga ',OFF
57943,' you have no plan for the environment even conservatives should be able to understand that you have to be able to live on the planet to make money there',NOT
66328,'  this is what happens when you tell white liberals that they dont get to congratulate themselves on how woke they are until they put their money where their mouth is that simple fact of life breaks their brains',NOT
34317,'            antifa doesnt beat facsists to try to get them to change their mind   they know its a lost cause to try to change a fascists mind they do it to scare them into hiding  to demoralize them  and to stop the spread of their hateful ideology there is no forcing views on others',OFF
44837,'  soros is at the root of everything and anything anti american he has his money in hollywood all the way to islam and antifa to illegals  ',NOT
36289,'firemorningjoe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump ',OFF
80570,'  truly has got to be the most idiotic thing ive ever seen',OFF
43185,'  brigitte gabriel has experienced a life that most would have nightmares from she is sounding the alarm for americans buy her book pay attention to what she is warning america about',NOT
86477,'         it does work if you want to control a population  australian gun control had no effect on homicides',OFF
67080,'  poor baby',NOT
96270,'    antifa = democrats = dixiecrats = kkk  ',NOT
44015,'  liberals ruin everything',OFF
48060,'   and dont forget his telling a primarily black liberal audience conservatives want to put them back in chains',NOT
31065,' sad for both to be exploited and also to have a reputation destroyed now i have read she is  part of antifa ',NOT
11411,' thats what happens when you let a liberal get a hold of a gun  that would be a good place to start gun control  ban liberals from getting guns',OFF
10133,'  you look happy maga',OFF
22128,'   trump proposes racial profiling as a tactic to start thinking about ',NOT
36518,' introducing my sweet sweet baby king he is always sooo nice and when i try to sit on the sofa he never attacks me ',NOT
59559,'   there all gone tho and inputed them from bottom to top with the first 20seconds of your tweet  you good 1 tmart thumbs up light skin tone',NOT
99618,'  exactly he is on record basically saying the president is above the law it should be noted that the gop is fine with this rudy has his own issues ',NOT
53309,'kamalaharris the new dem emperor with no clothes taxpayers funded ‘unprecedented’ armed protection for gun control sen kamala harris  via ',NOT
29497,' yet she is fat herself',OFF
84329,'  there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings arent about guilty innocence got on the bench times are diff now why as a journalist you dont call out white supremacy alt right but antifa and pick on ',NOT
50315,'  you do not understand who he is and is capablities despite the proof in the economy  my hypothesis is that you have been lied to by liberals your entire life and are believing what you are told the liberal media made bill clinton look good and could do the same with trump',NOT
97959,'oath must be subpoenaed to testify there is a lifetime appointment at stake here please do it right this time amp do not allow  orrin hatch who has already made up his mind she is lying be allowed to question her his kind of questions could invite a lawsuit',NOT
66524,'  y’all are the best',NOT
97300,'   what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about followers like its a big party i care that they discriminate ',OFF
12919,' indeed he is',NOT
40855,'   because im a little concerned about the q followers because they slowly become more and more a sort of right wing sjw antifa thingie  also excuse me for my horrible english its not my native languase and didnt had much schooling in it so im sorry if it sucks grinning face with sweat',NOT
84100,' yep antifa are literally hitler',NOT
21270,' wow you are so hot smiling face with heart eyessmiling face with heart eyessmiling face with heart eyessmiling face with heart eyeskissing facekissing facekissing facekissing facekissing face',NOT
41818,' she is the most deserving woman to be happy ',NOT
12435,'    ive noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter',NOT
14808,'   may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens do not believe all the shit that goes on in your head',OFF
82579,'  thats just modelling plenty of women make shit tons of money just for looking good',NOT
84523,'just watching a horizon show  about scientists that discovered a dna mix between humans and neanderthalswould have thought trump getting elected would have been proof enough maga',NOT
61917,'  i hope there is a way to watch it on tv  ted spanking liberals is always enjoyable',NOT
33322,'  just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliancewhat ever the hell that is',OFF
79251,' he should look in a mirror',NOT
42540,' i am sure he is purple heart',NOT
13881,'  send him this  party manifesto where they promised they will help families maybe that will remind him his duties hostileenvironment priceonlove skypefamilies    ',NOT
70402,'    families being separated at the border in fact  the picture of children in cages that liberals were using to show how evil trump is was actually taken while obama was president',NOT
83462,'  but antifa is her people',NOT
87206,'  we had a peoples vote on 23 june 2016 the people rejected the craven  worship which you stand for   by a majority of over 1m you are contemptuously defying the will of the people amp  2017 ge manifesto amp supporting soros in undermining democracy instead',NOT
87300,' cause who bitches be playing with loudly crying faceloudly crying faceloudly crying faceloudly crying face god aint give me the gift for nothing',OFF
54125,' she is free as a bird to return to her muslim homeland',NOT
75848,'*mom speaks into her phone to compose a text for my brother* she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling woman facepalming light skin tone',NOT
14948,'  melting snow flakes',NOT
66798,' who the victim that remains to be seen liberals have turned kavanaughs hearings into a circus from the first minute it started',NOT
80497,' coming from the man that threatened to try and kick turmps ass now dont that take a set of balls',OFF
38561,'  youre shocked to hear that liberals want to centralize power at the federal level',NOT
55203,'  he is best of the bestsmiling face with heart eyessmiling face with heart eyes',NOT
31776,'whatilearnedtoday liberals ca not win without lying',NOT
60916,' fast and furious holder lol',NOT
97277,' getting scared ugly man',OFF
63113,' is one of the only shows that are a progressive that i can stand to watch he dislikes the right and left evenly and you know who he is right from the start if youve never seen his show check it out on youtube insightful red heartunited states maga',NOT
59721,' he is not supreme court worthy',NOT
53839,' god i hope not ',NOT
15616,'   yes he is',NOT
95200,'     bitch ',OFF
77769,'amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests',OFF
65790,'+++ i cant prove causation either but while the conservatives in cda surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎¬ bashing pm  cant help but think theyre also egging the former to continue the bashing to boost their fortunes vainly ',NOT
48548,' 2 republican men in a picture 85 and 84 what are men of that age are law makers too old no sorry young republicans are like young conservatives they are all born at 40 years of age',NOT
83751,'   liberals ca not meme they have no sense of humor or knowledge of meme ing philosophy',NOT
62541,'  any she is stunning',NOT
62107,' yea your the bitch on the right getting smacked ',OFF
18474,' why the focus on the proud boys i know youre not a real journalist  kelly  but why not focus on the ones doing all of the violence antifa  if you want a story focus on why journalists leftist activists are constantly ignoring antifas attacks on people',NOT
33096,' hahaha big thighs is not going to make it',OFF
22879,'    it is called educating liberals',NOT
81470,'maga christineford trump2020 tcot ccot americafirst patriots   brettkavanaugh had this to say about bill clinton during whitewater   its imperative to make his pattern of revolting behavior clear    piece by painful piece   indeed ',OFF
20322,'maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government   and what jobs did he create labour which pays less than living wage lmao ',OFF
26694,'  if you wonna get paidpick up the energy people scream and shout like you are at the  kavanaugh hearing ',NOT
60130,' bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious',OFF
54559,'a bitch built like that could beat my ass all she wants ',OFF
34961,'        trash',NOT
14285,'  very pathetic man ',OFF
25012,'   she is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism grinning facegrinning facegrinning facegrinning face',NOT
19121,' shouldve played saint marie instead of london docks saint was ass for me ok hand',NOT
61272,' thank goodness he is not mn passive aggressive love it',NOT
25360,'  we can empty all our prisons also and just say they broke no lawsliberal logic',NOT
56949,'  she is an angel much love to her',NOT
34893,'  for what why are you asking for his arrest  liberals being butthurt for 19 months is not an impeachable offense',NOT
90958,'  the tolerant left',NOT
42133,'      you must be talking about hateful conservatives',OFF
18834,'  thats correct maga',OFF
12741,'    show me a single case where antifa have actually murdered someone  because the far right murdered someone at charlottesville person shrugging  hypocrisy works both ways',NOT
42528,' if bobby is fit thats exactly what i would say but not sure if he is or not',NOT
29300,' the only white people that thank jesus are republicans amp ex crackheads   so say america hating liberals about christians many ex dems thank jesus too  amp many former emmys watchers we thank jesus daily for our country  our  amp the ability to turn you off ',NOT
14850,' does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sports casters  how many td receptions skip have this year',NOT
38043,'   this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts     ',OFF
40340,'    she is just feeling his touch first timesmiling face with heart eyessmiling face with heart eyessmiling face with heart eyessmiling face with heart eyessmiling face with heart eyessmiling face with heart eyes',NOT
76709,'    this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly  alyssa milano just wet her pants again great team',OFF
22728,' stratadata ai data hairball  tdavis touring the application of cognitive and machinelearning techniques to speed governance of data ',OFF
14037,'   you are grossly misinterpreting who is against this people across all parties condemn this action look no further than bill davis and brian mulroney to see that even conservatives think this is a horrible decision',NOT
11640,'    i wasnt proposing scare tactics i really meant what i said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it',OFF
47009,'    only a liberal would support a liberal that spent a million to get liberals elected to office libfail ',OFF
